order_id,customer_name,region,product,quantity,unit_price,order_date
1001,张三,华东,智能音箱,2,299.00,2025-01-05
1002,李四,华东,智能手表,1,1299.00,2025-01-08
1003,王五,华北,智能音箱,3,299.00,2025-01-12
1004,赵六,华南,无线耳机,5,199.00,2025-01-15
1005,钱七,华东,智能门锁,1,899.00,2025-01-20
1006,孙八,西南,智能音箱,1,299.00,2025-02-02
1007,周九,华东,无线耳机,2,199.00,2025-02-06
1008,吴十,华北,智能手表,1,1299.00,2025-02-10
1009,郑一,华东,智能门锁,2,899.00,2025-02-14
1010,王二,华南,智能音箱,4,299.00,2025-02-18
1011,李三,华东,无线耳机,3,199.00,2025-02-22
1012,陈四,东北,智能手表,1,1299.00,2025-03-01
1013,刘五,华东,智能音箱,2,299.00,2025-03-05
1014,杨六,华南,智能门锁,1,899.00,2025-03-09
1015,黄七,华东,无线耳机,4,199.00,2025-03-12
